App,Category,Rating,Installs_Numeric,Reviews_Numeric
Google Chrome: Fast & Secure,COMMUNICATION,4.3,1000000000,9642995
Hangouts,COMMUNICATION,4.0,1000000000,3419249
Google Drive,PRODUCTIVITY,4.4,1000000000,2731171
Facebook,SOCIAL,4.1,1000000000,78158306
Google News,NEWS_AND_MAGAZINES,3.9,1000000000,877635
Google Play Games,ENTERTAINMENT,4.3,1000000000,7165362
Google+,SOCIAL,4.2,1000000000,4831125
Google Play Movies & TV,VIDEO_PLAYERS,3.7,1000000000,906384
Gmail,COMMUNICATION,4.3,1000000000,4604324
Google Street View,TRAVEL_AND_LOCAL,4.2,1000000000,2129689
